18
scd001, f0001, cnmr01, 1, 45, 3/3/2021, 
scd002, f0002, cnmr03, 2, 50, 12/3/2021, 
scd003, f0001, cnmr04, 3, 45, 8/4/2021, 
scd004, f0001, cnmr01, 5, 45, 3/4/2021, 
scd005, f0001, cnmr04, 2, 35, 17/5/2021, 
scd007, f0002, cnmr01, 4, 40, 24/6/2021, 
scd008, f0002, cnmr03, 1, 35, 12/7/2021, 
scd010, f0002, cnmr04, 3, 45, 15/8/2021, 
scd013, f0003, cnmr01, 1, 50, 3/9/2021, 
scd014, f0003, cnmr01, 5, 50, 12/9/2021, 
scd015, f0003, cnmr04, 3, 45, 8/10/2021, 
scd016, f0003, cnmr01, 3, 40, 3/10/2021, 
scd017, f0003, cnmr03, 2, 50, 17/11/2021, 
scd019, f0004, cnmr01, 4, 45, 24/12/2021, 
scd020, f0004, cnmr03, 1, 50, 12/12/2021, 
scd023, f0004, cnmr03, 2, 40, 8/2/2022, 
scd025, f0004, cnmr01, 5, 35, 1/3/2022, 
scd026, f0004, cnmr05, 2, 50, 1/1/2022, 
